number,symbol,name,atomic_mass,atomic_radii(pm),Protons,Electrons,Neutrons,Oxi. States,electron_configuration_semantic,phase,ionization_energies,electron_affinity,electronegativity_pauling,melt,boil,density,discovered_by
91,Pa,Protactinium,231.035882,180,91,91,140,"+4, +5",[Rn] 5f2 6d1 7s2,Solid,568,53.03,1.5,1841,4300,15.37,William Crookes
92,U,Uranium,238.028913,175,92,92,146,"+3, +4, +6",[Rn] 5f3 6d1 7s2,Solid,597.6,50.94,1.38,1405.3,4404,19.1,Martin Heinrich Klaproth
93,Np,Neptunium,237,175,93,93,144,"+3, +4, +5, +6",[Rn] 5f4 6d1 7s2,Solid,604.5,45.85,1.36,912,4447,20.45,Edwin McMillan
94,Pu,Plutonium,244,175,94,94,150,"+3, +4, +5, +6",[Rn] 5f6 7s2,Solid,584.7,-48.33,1.28,912.5,3505,19.816,Glenn T. Seaborg
95,Am,Americium,243,175,95,95,149,"+3, +4",[Rn] 5f7 7s2,Solid,578,9.93,1.13,1449,2880,12,Glenn T. Seaborg
96,Cm,Curium,247,174,96,96,151,3,[Rn] 5f7 6d1 7s2,Solid,581,27.17,1.28,1613,3383,13.51,Glenn T. Seaborg
97,Bk,Berkelium,247,170,97,97,153,"+3, +4",[Rn] 5f9 7s2,Solid,601,-165.24,1.3,1259,2900,14.78,Lawrence Berkeley National Laboratory
98,Cf,Californium,251,186,98,98,157,3,[Rn] 5f10 7s2,Solid,608,-97.31,1.3,1173,1743,15.1,Lawrence Berkeley National Laboratory
99,Es,Einsteinium,252,186,99,99,157,3,[Rn] 5f11 7s2,Solid,619,-28.6,1.3,1133,1269,8.84,Lawrence Berkeley National Laboratory
100,Fm,Fermium,257,186,100,100,157,3,[Rn] 5f12 7s2,Solid,627,33.96,1.3,1800,,,Lawrence Berkeley National Laboratory
101,Md,Mendelevium,258,186,101,101,157,"+2, +3",[Rn] 5f13 7s2,Solid,635,93.91,1.3,1100,,,Lawrence Berkeley National Laboratory
102,No,Nobelium,259,186,102,102,157,"+2, +3",[Rn] 5f14 7s2,Solid,642,-223.22,1.3,1100,,,Joint Institute for Nuclear Research
103,Lr,Lawrencium,266,186,103,103,159,3,[Rn] 5f14 7s2 7p1,Solid,470,-30.04,1.3,1900,,,Lawrence Berkeley National Laboratory
104,Rf,Rutherfordium,267,131,104,104,160,4,[Rn] 5f14 6d2 7s2,Solid,580,,,2400,5800,23.2,Joint Institute for Nuclear Research
105,Db,Dubnium,268,126,105,105,161,5,*[Rn] 5f14 6d3 7s2,Solid,,,,,,29.3,Joint Institute for Nuclear Research
106,Sg,Seaborgium,269,121,106,106,162,6,*[Rn] 5f14 6d4 7s2,Solid,,,,,,35,Lawrence Berkeley National Laboratory
107,Bh,Bohrium,270,119,107,107,162,7,*[Rn] 5f14 6d5 7s2,Solid,,,,,,37.1,Gesellschaft für Schwerionenforschung
108,Hs,Hassium,269,118,108,108,163,8,*[Rn] 5f14 6d6 7s2,Solid,,,,126,,40.7,Gesellschaft für Schwerionenforschung
109,Mt,Meitnerium,278,113,109,109,164,Unknown,*[Rn] 5f14 6d7 7s2,Solid,,,,,,37.4,Gesellschaft für Schwerionenforschung
110,Ds,Darmstadtium,281,112,110,110,164,Unknown,*[Rn] 5f14 6d9 7s1,Solid,,,,,,34.8,Gesellschaft für Schwerionenforschung
111,Rg,Roentgenium,282,118,111,111,165,Unknown,*[Rn] 5f14 6d10 7s1,Solid,,151,,,,28.7,Gesellschaft für Schwerionenforschung
112,Cn,Copernicium,285,130,112,112,165,2,*[Rn] 5f14 6d10 7s2,Liquid,,,,,3570,14,Gesellschaft für Schwerionenforschung
113,Nh,Nihonium,286,�,113,113,165,"+1, +3",*[Rn] 5f14 6d10 7s2 7p1,Solid,,66.6,,700,1430,16,RIKEN
114,Fl,Flerovium,289,�,114,114,176,"+2, +4",*[Rn] 5f14 6d10 7s2 7p2,Solid,,,,340,420,14,Joint Institute for Nuclear Research
115,Mc,Moscovium,289,�,115,115,176,"+1, +3",*[Rn] 5f14 6d10 7s2 7p3,Solid,,35.3,,670,1400,13.5,Joint Institute for Nuclear Research
116,Lv,Livermorium,293,�,116,116,177,"+2, +4",*[Rn] 5f14 6d10 7s2 7p4,Solid,,74.9,,709,1085,12.9,Joint Institute for Nuclear Research
117,Ts,Tennessine,294,�,117,117,177,"-1, +1 (predicted)",*[Rn] 5f14 6d10 7s2 7p5,Solid,,165.9,,723,883,7.17,Joint Institute for Nuclear Research
118,Og,Oganesson,294,�,118,118,176,0 (predicted),*[Rn] 5f14 6d10 7s2 7p6,Solid,,5.40318,,,350,4.95,Joint Institute for Nuclear Research
